ID,Group,Feature_1,Feature_2,Feature_3
ID000,C,2564.108169660804,387.2108697009374,-2177.48295468853
ID001,B,2399.3209554263567,372.0313000109399,4810.136742431851
ID002,C,2528.5112524753577,400.41657716413147,-2129.528213250026
ID003,C,2370.92091375578,412.8247105475956,-1964.7481230511762
ID004,A,2582.044935268167,399.5254128306402,5753.410763079654
ID005,C,2455.284626750963,383.1020708056914,-2062.689898665662
ID006,C,2338.82560724332,370.4460779222034,-1958.9325275192602
ID007,B,2414.4413894242193,402.1332550696004,4843.672406726598
ID008,C,2472.841620710029,375.3959100102046,-2099.456789067887
ID009,B,2576.722785018671,412.2688932551181,5160.736844778121
ID010,C,2616.378164246038,409.8373321508587,-2216.941211110128
ID011,B,2447.6331709684277,394.27078124156276,4906.261484928012
ID012,A,2469.010442211798,403.8088168322694,5402.073716810709
ID013,B,2583.3737809636127,361.38092561282275,5178.877385617333
ID014,C,2421.287834098063,422.30912387273986,-2015.2724949714964
ID015,B,2462.3940281915,422.2121127263391,4907.041765357866
ID016,A,2445.9084342375277,420.29600643211523,5235.904660502723
ID017,C,2582.583929291329,408.81409192042054,-2176.7828846026646
ID018,A,2428.7179460912444,413.55148740423243,5234.552880464681
ID019,B,2588.8325275070792,390.01819726579726,5170.6904945588185
ID020,C,2611.4211489006543,414.59194017764025,-2186.6123719601487
ID021,B,2502.4722632764265,401.5453157913382,5002.88363137197
ID022,A,2592.056560501444,414.7946223246059,5723.875097194227
ID023,A,2467.4515737257457,396.9469056741861,5418.773398824969
ID024,A,2642.1816881476952,413.0801795095251,5892.2042709787065
ID025,A,2547.7779622033386,398.74863512075547,5652.732705108066
ID026,B,2414.435878700499,400.4990212500089,4824.18249709419
ID027,C,2461.4607791660233,394.94095727466026,-2059.866590658048
ID028,A,2374.169736837614,385.56694407740906,5186.979192108034
ID029,C,2557.6491831692297,389.33333874092125,-2167.5257570088233
ID030,A,2479.6628776260595,409.62143781846487,5399.622637792743
ID031,A,2636.695727952133,393.8840052461569,5934.96046247575
ID032,B,2587.814834239108,411.0557658121028,5161.671726051986
ID033,A,2590.984742458264,387.0120659054791,5851.694731043819
ID034,B,2555.0893823063734,395.0571447947058,5106.9335816623825
ID035,A,2521.00143928095,397.89285817949843,5557.99634388471
ID036,A,2550.658719612318,401.03666215068176,5649.680661888829
ID037,A,2574.714323239967,415.21886296472184,5627.622148395795
ID038,C,2669.817762726211,400.8228868807983,-2269.9466723994847
ID039,B,2608.498813973897,401.744106984929,5215.933550248496
